1;AA.VV.;Archeografo triestino, XXXVI;;
2;AA.VV.;Archeografo triestino, XXXV;;
3;AA.VV.;Archeografo triestino, XXXVII;;
4;AA.VV.;Nazionalismo e neofascismo al confine orientale;;
5;AA.VV.;Nazionalismo e neofascismo al confine orientale;;
6;AA.VV.;Contributi per una storia delle istituzioni scolastiche a Trieste;;
7;Vidali P.;La guerra antifascista;;
8;Carpinteri- Faraguna;Serbidìola;;
9;AA.VV.;Storia contemporanea in Friuli, 1978;;
10;AA.VV.;Storia contemporanea in Friuli, 1978;;
11;AA.VV.;Storia contemporanea in Friuli, 1978;;
12;AA.VV.;Storia contemporanea in Friuli, 1978;;
13;AA.VV.;Storia contemporanea in Friuli, 1978;;
14;AA.VV.;Storia contemporanea in Friuli, 1978;;
15;Brancati Mario;L’organizzazione scolastica nella Contea di Gorizia;;
16;Brancati Mario;L’organizzazione scolastica nella Contea di Gorizia;;
17;Cavallo-Ceschia- Begot;La Nazione Friuli vol. I;;
18;Cavallo-Ceschia- Begot;La Nazione Friuli vol. II;;
19;AA.VV.;Studi Kandlkeriani;;
20;AA.VV.;Quaderni giuliani di storia;;
21;AA.VV.;Il movimento di liberazione in Friuli, 1971;;
22;;;;
23;Caruana;L’Arcidiocesi di Gorizia;;
24;Deluisa A.;Friuli redento;;
25;Tirelli R.;Mortean (Per una storia di Mortegliano);;
26;Chiaradia G.;La prima gerla d’argento;;
27;Collotti E.;Il litorale adriatico nel nuovo ordinamento europeo 1943-1945;;
28;Fogar C. ;Gabriele Foschiatti;;
29;Collotti E.;Il litorale adriatico nel nuovo ordinamento europeo 1943-1945;;
30;AA.VV.;Passato e presente degli Sloveni in Italia;;
31;Cecovini M.;I migliori di noi;;
32;Cresta P.;Un partigiano dell’Osoppo al confine orientale;;
33;Cresta P.;Un partigiano dell’Osoppo al confine orientale;;
34;Cresta P.;Un partigiano dell’Osoppo al confine orientale;;
35;Belli Giotti;Ai miei cari (lettere dalla Russia);;
36;;;;
37;Mazzi L.;L’anima in disordine;;
38;Jacumin;Lotte contadine nel Friuli orientale;;
39;Jacumin;Lotte contadine nel Friuli orientale;;
40;Miglia Guido;Dentro l’Istria;;
41;Maserati Ennio;L’occupazione jugoslava di Trieste;;
42;Vuga Francesco;La zona libera di Carnia e l’occupazione cosacca;;
43;Silvestri Claudio;Dalla redenzione al fascismo;;
44;Corubolo G.;Dal sacrificio alla gloria;;
45;Fornasir G.;Cervignano del Friuli;;
46;Pittoni A.;L'anima di Trieste;;
47;Pittoni A.;L'anima di Trieste;;
48;Bressan M.;Tauglich: Una storia che non si deve dimenticare;;
49;Venturini D. ;Monf a l c o n e , memorie d'infanzia;;
50;Venturini D.;MonfaIcone, memorie d'infanzia;;
51;Venturini D.;MonfaIcone, memorie d'infanzia;;
52;Venturini D.;MonfaIcone, memorie d'infanzia;;
53;Venturini D.;MonfaIcone, memorie d'infanzia;;
54;Steffé B.;La lotta antifascista nel Basso Friuli e nell'lsontino;;
55;Fogar;L'antifascismo operaio monfalconese fra le due guerre ;;
56;De Dolcetti C.;Trieste nelle sue canzoni ;;
57;Frau G.;Dizionario toponomastico del F r i u l i - V . G i u l i a;;
58;Manganaro C.;F. Pecorari;;
59;Nepitello;Storia di Trieste;;
60;Di Giacomo N.;Gli Jurcev ex A.U.;;
61;Caprin C.;Il Trecento a Trieste;;
62;AA.VV.;Relazione sulla situazione dei lavoratori della zona B del TLT dal maggio 1 945 ad oggi;;
63;Zorzut D.;Stait a scolta, stait a sinti;;
64;Faggin G. (a cura di);Prose friulane del goriziano;;
65;Ceschia W.;La terra di Tavagnacco nella storia del Friuli;;
66;AA.VV.;Contributi per una storia delle istituzioni scolastiche a Trieste;;
67;Bongiorno- Barbina;Il pane degli altri;;
68;Pallante P.;Il PCI. e la questione nazionale Friuli-V.Giulia;;
69;Treu ( a cura di);Il Tarvisiano;;
70;Medeot C.;Cronache goriziane;;
71;AA.VV.;Il Cantiere;;
72;AA.VV.;Mosaici in Aquileia e nell'Alto Adriatico;;
73;Calvi N. C.;I vetri romani;;
74;AA.VV.;Arte in Friuli e arte a Trieste;;
75;Antichità Alto Adriatiche;Studi cividalesi;;
76;Antichità Alto Adriatiche;Studi su San Daniele del Friuli;;
77;Marcon E.;La città di Monfalcone;;
78;Marcon E.;La città di Monfalcone;;
79;Marcon E.;La città di Monfalcone;;
80;Novak B.;Trieste 1 941 -1 954;;
81;AA.VV.;Storia di un esodo;;
82;Froglia L.; Il pittore triestino Guido Grimani;;
83;Dardi D.;Dieci profili di artisti della regione Friuli-V. Giulia;;
84;AA.VV.;Il parco di Fusine;;
85;AA.VV.;Il parco di Fusine;;
86;AA.VV.;L'ambiente fisico del Prescudin;;
87;AA.VV.;Le riserve naturali del Cansiglio Orientale;;
88;AA.VV.;Le riserve naturali del Cansiglio Orientale;;
89;Mottola- Ruzzier;Umile Carso;;
90;Kugy G.;Le Alpi Giulie attraverso le immagini;;
91;Valussi G.;Friuli Venezia Giulia;;
92;Mazzi;Quassù Trieste;;
93;;;;
94;Domini S.;"Proverbi della ""Bisiacaria""";;
95;Cusin P.;Il confine orientale d'Italia;;
96;Furioso M.;Storia di Turriaco;;
97;AA.VV.;Storia regionale contemporanea;;
98;AA.VV.;Storia regionale contemporanea;;
99;Pinguentini G.;Nuovo dizionario del dialetto triestino;;
100;Domini S.;Staranzano;;
101;Domini S. ;Staranzano;;
102;Ostermann;La vita in Friuli;;
103;Ostermann;La vita in Friuli;;
104;AA.VV.;La V. Giulia e la Dalmazia nella rivoluzione nazionale del 1848-1849, vol. I;;
105;AA.VV.;La V. Giulia e la Dalmazia nella rivoluzione nazionale del 1848-1849, vol. II;;
106;AA.VV.;La V. Giulia e la Dalmazia nella rivoluzione nazionale del 1848-1849, vol. III;;
107;AA.VV.;Protezione dei beni naturali e del paesaggio;;
108;Comune di Monfalcone;Bollettino statistico- agosto 1973;;
109;AA.VV.;Gorizia nel Medioevo;;
110;Manganaro C.;Trieste tra cronaca e storia;;
111;Manganaro C. ;Trieste tra cronaca e storia;;
112;Spangher L.;Breve guida di Gorizia e della sua provincia;;
113;Biasuz G.- Buttigno;Andrea Brustolon;;
114;Decarli L.;Origini del dialetto veneto istriano;;
115;Istituto di Storia Econ. Di Trieste;Udine la patria del Friuli;;
116;Lenardon P.;Alberi in città;;
117;AA.VV.;Almanacco di Monfalcone;;
118;Duca R.;L'agro monfalconese: sviluppi storici del territorio di bonifica. Nel I° centenario dell'irrigazione;;
119;Tassini A. (a cura di);Trieste, cent’anni fa ;;
120;AA.VV.;Gorizia;;
121;Bartolini;Filande in Friuli;;
122;AA.VV.;Gioventù '70 nel Friuli-V. Giulia;;
123;AA.VV.;Gioventù '70 nel Friuli-V. Giulia;;
124;Grassi;Trieste- Venezia Giulia (1943-1954);;
125;Bertossi S. ;Vecchie case dei Forni Savorgnani;;
126;AA.VV.;Enciclopedia Monografica del Friuli –V. Giulia, vol.I-1;;
127;AA.VV.;Enciclopedia Monografica del Friuli –V. Giulia, vol.I-2;;
