1;Pavese G.;Poesie del disamore;;
2;Pavese G.;Lavorare stanca;;
3;Pascarella C.;La scoperta dell'America e altri sonetti;;
4;Giotti V.;Colori;;
5;Sanguinetti E.;Poesia italiana del '900 vol. I;;
6;Sanguinetti E.;Poesia italiana del '900 vol. II;;
7;Romano Lalla;Giovane è il tempo;;
8;Quarantotti Gambini;Al sole e al vento;;
9;Ungaretti G.;Vita d'un uomo;;
10;Pavese G.;Poesie;;
11;Foscolo U. ( a cura di);Nuovi poeti;;
12;Pascarella C.;Storia nostra;;
13;Fo D.;Morte accidentale di un anarchico;;
14;Marin B.;El mar de l'eterno;;
15;;;;
16;Morante E.;Il mondo salvato dai ragazzini;;
17;Morante E.;Il mondo salvato dai ragazzini;;
18;Quasimodo S.;Il falso e vero verde ;;
19;Quasimodo S.;La vita non è sogno;;
20;Ungaretti G.;La terra promessa;;
21;Sinisgalli L.;Il passero e il lebbroso;;
22;Montale E.;Ossi di seppia;;
23;Montale E.;Ossi di seppia;;
24;Marsicano M.C.;Le laudi;;
25;Saba U.;Il Canzoniere;;
26;Frattini-Tuscano ( a cura di );Poeti italiani del XX sec.;;
27;;;;
28;Spaganaoletti G.;Poesia contemporanea (1909-1959);;
29;Guglielminetti M.;I poeti contemporanei;;
30;Praga E;"""Tavolozza"" e ""Penombre""";;
31;Praga E;Poesie;;
32;Bellazzi;La poesia di C. Pavese;;
33;Caccia Dominioni;Takfir;;
34;Pappalettera V.;Tu passerai per il camino;;
35;Piovene G.;L'Europa semilibera;;
36;Pavese G.;Racconti vol.I;;
37;Pavese G.;Racconti vol. II;;
38;Pavese G.;La bella estate;;
39;Pavese G.;La bella estate;;
40;Pavese G.;Dialoghi con Leucò;;
41;Pavese G.;Il mestiere di vivere;;
42;Pavese G.;Feria d'agosto;;
43;Pavese G.;La spiaggia;;
44;Pavese G.;Lettere  vol. I;;
45;Pavese G.;Lettere  vol. II;;
46;Pavese G.;La luna e i falò;;
47;Pavese G.;La luna e i falò;;
48;Pavese G.;La luna e i falò;;
49;Pavese G.;Paesi tuoi;;
50;Pavese G.;Paesi tuoi;;
51;Pavese G.;Il compagno;;
52;Pavese G.;Il compagno;;
53;Pavese G.;Il compagno;;
54;Misasi N. ;Pagine calabresi;;
55;Corti E.;I più non ritornano;;
56;Massara F. ;Fiamma nei cieli;;
