1;Ruesch H. ;Paese dalle ombre corte;;
2;Ruesch H.;Paese dalle ombre lunghe;;
3;Kolosimo P.;Ombre sulle stelle;;
4;Kolosimo P.;Il pianeta sconosciuto;;
5;Maas P.;S e r p i c o;;
6;Ionesco E.;Il solitario;;
7;White P.;L'esploratore;;
8;Plenzdorf U.;I nuovi dolori del giovane Werther;;
9;Hemingway E.;Verdi colline d'Africa;;
10;Hemingway E.;Avere e non avere;;
11;Hemingway E.;Addio alle armi;;
12;Hemingway E.;F i e s t a;;
13;Hemingway E.;Per chi suona la campana;;
14;Kolosimo P.;Non è terrestre;;
15;Hemingway E.;Torrenti di primavera;;
16;Hemingway E.;Torrenti di primavera;;
17;Hemingway E;Morte nel pomeriggio;;
18;Solzenitsyn A.;Agosto 1914;;
19;Solzenitsyn A.;Agosto 1914;;
20;Solzenitsyn A.;Il cervo e la bella del campo;;
21;Solzenitsyn A.;Il primo cerchio   vol. I;;
22;Solzenitsyn A.;Il primo cerchio   vol. II;;
23;Solzenitsyn A.;Il primo cerchio   vol. II;;
24;Solzenitsyn A.;Una giornata di Ivan Denisovic La Matriona - Alla stazione;;
25;Solzenitsyn A.;Una giornata di Ivan Denisovic La Matriona - Alla stazione;;
26;Solzenitsyn A.;La quercia e il vitello;;
27;Dostoevskij F.;Memorie del sottosuolo;;
28;Durrenmatt F.;La caduta;;
29;Ajtmatov C. ;Romanzi brevi;;
30;Markov G.;La famiglia Strogov;;
31;Bondarev J.;La neve calda;;
32;Bykov V.;Gli ultimi tre giorni;;
33;Read P.P. ;Tabù;;
34;Vercors B. J. ;Il silenzio del mare;;
35;Vercors B. J.;La zattera della medusa;;
36;West N. ;Il giorno della locusta;;
37;West N.;La salamandra;;
38;Solzenitsyn A.;Arcipelago Gulag;;
39;Solzenitsyn A.;Arcipelago Gulag;;
40;Solzenitsyn A.;Arcipelago Gulag;;
41;Durrenmatt F.;Greco cerca greca;;
42;Durrenmatt F.;Greco cerca greca;;
43;Durrenmatt F.;La panne;;
44;Durrenmatt F.;Il giudice e il suo boia;;
45;Durrenmatt F.;La panne;;
46;Durrenmatt F.;La promessa;;
47;Durrenmatt F.;I fisici;;
48;Merton T.;La montagna dalle sette balze;;
49;Merton T.;Nessun uomo è un'isola;;
50;Merton T.;La montagna dalle sette balze;;
51;Lord W.;Le due ore di  Pearl Harbor;;
52;Lawrence T. E. ;L'aviere Ross;;
53;Lucas P. ;E I AI a m e i n;;
54;Lee H.;Il buio oltre la siepe;;
55;Gogol N.V.;I racconti di Pietroburgo;;
56;Gide A. ;Sinfonia pastorale;;
57;Fitzgerald F.S.;Tenera è la notte;;
58;Fitzgerald F.S.;Il grande Gatsby;;
59;Fitzgerald F.S.;Il grande Gatsby;;
60;Fitzgerald F.S.;Il grande Gatsby;;
61;Malraux A.;La condizione umana;;
62;Malraux A.;La condizione umana;;
63;Steinbeck J.;Uomini e topi;;
64;Steinbeck J.;Furore;;
65;Steinbeck J.;Furore;;
66;Steinbeck J.;Pian della tortilla;;
67;Steinbeck J.;Pian della tortilla;;
68;Steinbeck J.;Al dio sconosciuto;;
69;Steinbeck J.;La luna è tramontata;;
70;Steinbeck J.;I pascoli del cielo;;
71;Steinbeck J.;L’inverno del nostro scontento;;
72;De Beauvoir S. ;Le belle immagini;;
73;De Beauvoir S.;La forza delle cose;;
74;De Beauvoir S.;Memorie di una ragazza per bene;;
75;De Beauvoir S. ;Una morte dolcissima;;
76;De Beauvoir S. ;I mandarini;;
77;De Beauvoir S.;A conti fatti;;
78;De Beauvoir S.;La forza delle cose;;
79;De Beauvoir S.;Memorie di una ragazza per bene;;
80;De Beauvoir S.;L’età forte;;
81;De Beauvoir S.;Esiste la donna?;;
82;Kafka F.;Il processo;;
83;Kafka F.;Il processo;;
84;Kafka F.;Il castello;;
85;Kafka F.;Lettere al padre;;
86;Kafka F.;Tutti i racconti vol. I;;
87;Kafka F.;Tutti i racconti vol. II;;
88;Kafka F.;Diari (1910-1932) vol. I;;
89;Kafka F.;Diari (1910-1932) vol. II;;
90;Kafka F.;Lettere a Milena;;
91;Kafka F.;Il  castello;;
92;Abelardo;Storia delle mie disgrazie - Lettere d'amore di Abelardo e Eloisa ;;
93;Paulus F. ;Stalingrado;;
94;Scorza M.;Storia del garabombo invisibile;;
95;Silva O.;Qui succede, signori, che mi gioco la sorte;;
96;Wambaugh J. ;Il cavaliere blu;;
97;Hamilton C. ( a cura di) ;Sul sentiero di guerra;;
98;Garcia Marques G.;L'autunno del patriarca;;
99;Mann T. ;Altezza reale;;
100;Sakharov A. ;Il mio paese è il mondo;;
101;Hailey A.;"I ""boss"" del dollaro";;
102;Fowles J.;La torre d'ebano;;
103;Milani F. ;Il forzato;;
104;Adams R.;La collina dei conigli;;
105;Mann T.;;;
106;Mann T.;Confessioni del cavalier d'industria Felix Krull;;
107;Mann T.;Confessioni del cavalier d'industria Felix Krull;;
108;Mann T.;Cane e padrone;;
109;Mann T.;Doctor Faustus;;
110;Mann T.;Mario e il Mago - Le teste scambiate;;
111;Mann T.;Tonio Kroger;;
112;Mann T.;Cane e padrone;;
113;Mann T.;La morte a Venezia - Tonio Kroger - Tristano;;
114;Mann T.;Altezza reale;;
115;Mann T.;I Buddenbrook;;
116;Mann T.;I Buddenbrook;;
117;Mann T.;La montagna incantata vol. I;;
118;Mann T.;La montagna incantata vol. II;;
119;Hemingway E.;Isole nella corrente;;
120;Chesterton G. K. ;La resurrezione di Roma;;
121;Chesterton G.K.;La saggezza di Padre Brown;;
122;Chesterton G.K.;L'innocenza di Padre Brown;;
123;Joyce J.;Esuli;;
124;Joyce J.;Dublinesi (Gente di Dublino);;
125;Joyce J.;Dublinesi (Gente di Dublino);;
126;Joyce J.;Dublinesi (Gente di Dublino);;
127;Joyce J.;Ulisse;;
128;Joyce J.;Ulisse;;
129;Joyce J.;Dedalus;;
130;Bulgakov;Il maestro e Margherita;;
131;Bulgakov;Il maestro e Margherita;;
132;Bulgakov;Il maestro e Margherita;;
133;Bulgakov;Il maestro e Margherita;;
134;Majakovskij V.;Lettere d'amore a Lilia Brik;;
135;Babel I.;L'armata a cavallo;;
136;Bulgakov;I racconti di un giovane medico;;
137;Asimov I.;lo, robot;;
138;Stein G.;Come volevasi dimostrare;;
138;Garnett D.;La signora trasformata in volpe;;
140;Frisch M.;Guglielmo Tell per la scuola;;
141;Caldwell  E.;La via del tabacco;;
142;Böll H.;Opinioni di un clown;;
143;Böll H.;Racconti umoristici e satirici;;
144;Böll H.;Casa senza custode;;
145;Böll H.;Foto di gruppo con signora;;
146;Böll H.;Foto di gruppo con signora;;
147;Böll H.;Che cosa faremo di questo ragazzo;;
148;Cechov A.;Epistolario vol .I;;
149;Cechov A.;Epistolario vol .II;;
150;Cechov A.;Racconti vol.I;;
151;Cechov A.;Racconti vol.II;;
152;Cechov A.;Una storia noiosa;;
153;Cechov A.;Anima cara;;
154;Cechov A.;Il duello;;
155;Cechov A.;Il monaco nero;;
156;Cechov A.;Lo studente;;
157;Cechov A.;I contadini;;
158;Camus A. ;La morte felice;;
159;Camus A.;Lo straniero;;
160;Camus A.;La caduta- L’esilio e il regno;;
161;Kolosimo P.;Terra senza tempo;;
162;Camus A. ;La peste;;
163;Camus A.;La peste;;
164;Proust M.;Alla ricerca del tempo perduto vol.I;;
165;Proust M.;Alla ricerca del tempo perduto vol.II;;
166;Proust M.;Alla ricerca del tempo perduto vol.III;;
167;Proust M.;Alla ricerca del tempo perduto vol.IV;;
168;Proust M.;Alla ricerca del tempo perduto vol.V;;
169;Proust M.;Alla ricerca del tempo perduto vol.VI;;
170;Proust M.;Alla ricerca del tempo perduto vol.VII;;
171;Proust M.;Lettere;;
172;Proust M.;Il tempo ritrovato;;
173;Proust M.;La fuggitiva;;
174;Proust M.;La prigioniera;;
175;Proust M.;Sodoma e Gomorra;;
176;Proust M.;I Guernantes;;
177;Proust M.;All’ombra della fanciulla in fiore;;
178;Proust M.;La strada  di Swann;;
179;Musil R. ;L’uomo senza qualità vol.I;;
180;Musil R.;L’uomo senza qualità vol.II;;
181;Musil R.;Tre donne;;
182;Schreiber H. e G. ;Città scomparse;;
183;Musil R.;1 turbamenti del giovane Torless;;
184;Hassel S.;Germania Kaput;;
185;Rilke E. M.;I quaderni di Malte Laurids Brigge;;
186;Woolf V.;Gita al faro;;
