1;Giuliani A. ;Poesie per gli anni ‘60;;
2;Boccaccio G.;Decameron, vol.I;;
3;Boccaccio G.;Decameron, vol.II;;
4;Boccaccio G.;Decameron, vol.I;;
5;Boccaccio G.;Decameron, vol.II;;
6;Campana D.;Opere e contributi, vol.I;;
7;Campana D.;Opere e contributi, vol.II;;
8;Mazzini G.;Dei doveri dell’uomo. Fede e avvenire;;
9;Belli G.;I sonetti, vol.II;;
10;Belli G.;I sonetti, vol.III;;
11;Belli G.;I sonetti, vol.IV;;
12;Gozzano G.;Le poesie;;
13;Gozzano G.;Le poesie;;
14;Buonarroti M.;Lettere;;
15;Galilei G.;Dialogo sopra i massimi sistemi del mondo;;
16;D’Annunzio G.;Alcyone;;
17;D’Annunzio G.;Maia;;
18;Giotti V.;Colori;;
19;Da Vinci L.;Scritti Letterari;;
20;Machiavelli N.;Principe-Discorsi sopra la prima decade di T. Livio;;
21;Machiavelli N.;Lettere;;
22;Machiavelli N.;Il Principe-La Mandragola- Lettere;;
23;Machiavelli N.;Il Principe;;
24;Poliziano A.;Tutte le poesie italiane;;
25;Ariosto L.;Orlando Furioso, vol. I, c. 1-14;;
26;Ariosto L.;Orlando Furioso, vol.II, c. 15-24;;
27;Ariosto L.;Orlando Furioso, vol.III, c. 25-34;;
28;Ariosto L.;Orlando Furioso, vol.IV, c. 35-46;;
29;Ariosto L.;Orlando Furioso;;
30;Benco S.;Scritti musicali;;
31;Boiardo M.M.;Orlando innamorato, vol.I;;
32;Boiardo M.M.;Orlando innamorato, vol.II;;
33;Boiardo M.M.;Orlando innamorato, vol.III;;
34;Boiardo M.M.;Orlando innamorato, vol.IV;;
35;Pirjevec J.;N. Tommaseo tra Italia e Slavia;;
36;Pirjevec J.;N. Tommaseo tra Italia e Slavia;;
37;Pirjevec J.;N. Tommaseo tra Italia e Slavia;;
38;Pirjevec J.;N. Tommaseo tra Italia e Slavia;;
39;Villani- Compagni;Cronache;;
40;Sacchetti F.;Novelle;;
41;Balduino A. (a cura di);Cantari del’ 300;;
42;Vico G.;La scienza nuova;;
43;Guicciardini F.;Storia d’Italia, vol.I;;
44;Guicciardini F.;Storia d’Italia, vol.II;;
45;Guicciardini F.;Storia d’Italia, vol.III;;
46;;;;
47;;;;
48;Alighieri D.;La Divina Commedia  Inferno;;
49;Alighieri D.;La Divina Commedia  Inferno;;
50;Alighieri D.;La Divina Commedia  Purgatorio;;
51;Alighieri D.;La Divina Commedia  Paradiso;;
52;Alighieri D.;Rime;;
53;Alighieri D.;La Divina Commedia Inferno;;
