1;Del Missier S. ;Problematica e mondo morale nella narrative di G.Stuparich;;
2;De Mauro T.;Storia linguistica dell’Italia unita;;
3;;;;
4;Asor Rosa A.;Il caso Verga;;
5;Alderisio F.;Machiavelli;;
6;;;;
7;Addamo S.;Vuttorini e la narrative siciliana contemporanea;;
8;Antoni-Mattioli ;50 anni di vita intellettuale italiana, vol.I;;
9;Antoni-Mattioli;50 anni di vita intellettuale italiana, vol.II;;
10;Baldini A.;Fine ‘800 (Carducci, Pascoli, D’Annunzio);;
11;Barberi-Squarotti;La cultura e la poesia italiana del dopoguerra;;
12;Barberi-Squarotti;La narrativa italiana del dopoguerra;;
13;Barberi-Squarotti;La cultura e la poesia italiana del dopoguerra;;
14;Bargellini P.;Canto delle rondini;;
15;Barberi-Squarotti;Manzoni;;
16;Bigongiari P.;Capitoli di una storia della poesia  italiana;;
17;Bigongiari P.;Poesia italiana del '900;;
18;Petronio G.;Teoria e realtà del romanzo;;
19;Borgese G.A.;Storia della critica romantica in Italia;;
29;Bo C .;La religione di Serra;;
21;B i n n i W .;Carducci e altri saggi;;
22;Brunetta G.P.;Letteratura e cinema;;
23;B i n n i W;Nuova poetica leopardiana;;
24;B i n n i W .;La poetica del decadentismo;;
25;Binni-Sapegno;Storia letteraria delle regioni d' Italia;;
26;Pasquali G .;Pagine stravaganti;;
27;Pasquali G .;Pagine stravaganti;;
28;C i r e s e A .;Folklore e antropologia tra storicismo e marxismo;;
29;Croce B.;Giosuè Carducci;;
30;Croce B.;Alessandro Manzoni;;
31;;;;
32;Croce B.;Saggi sulla letteratura italiana del '600;;
33;De Sanctis F.;Storia della letteratura italiana,;;
34;De Sanctis F.;Storia della letteratura italiana,;;
35;De Sanctis F.;Lezioni e saggi su Dante;;
36;Capuana L.;Verga e d'Annunzio;;
37;Braccesi R.;Discussioni carducciane;;
38;Croce B;Filosofia, poesia, storia;;
39;C h a bod F.;Scritti su Machiavelli;;
40;Cecchi E.;La poesia di G.Pascoli;;
41;Cecchi E.;Ritratti e profili;;
42;Alessandrini L.;Corrado Alvaro;;
43;Bosco U.;Dante. La vita e le opere;;
44;Boccalaro M;Angelo Poliziano;;
45;Borghello G.P.;Letteratura e marxismo;;
46;Berlenghi A.;La polemica sul Romanticismo;;
47;Boldrini B.;La formazione del pensiero etico - storico del Manzoni;;
48;De Sanctis F.;Saggi critici, vol. I;;
49;De Sanctis F.;Saggi critici, vol. II;;
50;De Sanctis F.;Saggi critici, vol. III;;
51;De Sanctis F.;Storia della letteratura italiana, vol. I;;
52;De Sanctis F.;Storia della letteratura italiana, vol. Il;;
53;Luperini R.;Il Novecento, vol. I;;
54;Luperini R.;Il Novecento, vol. II;;
55;Pasolini P.P.;L'usignolo della chiesa cattolica;;
56;Falaschi G .;La resistenza armata nella narrativa italiana;;
57;Petronio (a cura);Teoria e realtà della storiografia letteraria;;
58;Bonalumi G .;Parini e la satira;;
59;Abruzzese A.;Svevo,Slataper, MichaeI staedter;;
60;Scalia G.;Signor capitale e signora letteratura;;
61;Croce G.C.;Le sottilissime astuzie di Bertoldo;;
62;Ferretti G.C.;Il   mercato delle lettere;;
63;Ferretti G.C.;Letteratura e ideologia;;
64;Petrucci A.;Libri,editorie pubblico nell'Europa moderna;;
65;Sapegno N.;Ritratto di Manzoni;;
66;Sapegno N.;Ritratto di Manzoni;;
67;Sapegno N.;Ritratto di Manzoni;;
68;Borges Y.L.;Storia universale dell'infamia;;
69;Capatti (a cura);Memorie di Madame Ludovica;;
70;;;;
71;;La cultura letteraria italiana dell'800;;
72;Ghidetti E.;Svevo;;
73;Watt I.;Le origini del romanzo borghese;;
74;L u k a c s G .;Il marxismo e la critica letteraria;;
75;L u k a c s G .;Il marxismo e la critica letteraria;;
76;De Micheli M .;Le avanguardie artistiche;;
77;Basile B .;La poesia contemporanea;;
78;Ripellini A.M.;Letteratura come itinerario nel meraviglioso;;
79;Manzoni A.;Scritti filosofici;;
80;Puppo M.;Il Romanticismo;;
81;Puppo M.;Il   Romanticismo;;
82;Puppo M.;Il  Romanticismo;;
83;Spinazzola;Verismo e positivismo;;
84;Russo L.;Carducci senza retorica;;
85;Russo L.;Carducci senza retorica;;
86;Russo L.;Carducci senza retorica;;
87;Luperini (a cura);Interpretazioni di Verga;;
88;Fochi F .;L'italiano facile - Guida allo scrivere e al parlare;;
89;AA.VV.;Scrittori triestini del '900;;
90;Auerbach E.;Mimesis, vol. I;;
91;Auerbach E.;Mimesis, vol. II;;
92;Fubini M.;Romanticismo italiano;;
93;F u b i n i M .;Romanticismo italiano;;
94;F u b i n i M .;Romanticismo italiano;;
95;Rusconi E.;Comune solitudine;;
96;Rusconi E.;Comune solitudine;;
97;Fubin i M .;Romanticismo italiano;;
98;Fubin i M .;Romanticismo italiano;;
99;Momigliano A.;Saggio sull'Orlando Furioso;;
100;Momigliano A.;Saggio sull'Orlando Furioso;;
101;Russo L.;Letture critiche del Decameron;;
102;Bosco U.;Francesco Petrarca;;
103;AA.VV.;Lett. Ital.: I critici, vol.I;;
104;AA.VV.;Lett. Ital. : I critici, vol.II;;
105;AA.VV.;Lett. Ital. : I critici, vol.III;;
106;AA.VV.;Lett. Ital. : I critici, vol.IV;;
107;AA.VV.;Lett. Ital. : I critici, vol.V;;
108;AA.VV.;Lett. Ital.: I contemporanei, vol.I;;
109;AA.VV.;Lett. Ital.: I contemporanei, vol.II;;
