1;Cesare;La Guerra gallica;;
2;Cesare;La Guerra civile;;
3;Seneca;Lettere a Lucilio;;
4;Seneca;I benefici;;
5;Seneca;Operette morali, libro I;;
6;Seneca;Operette morali, libro II;;
7;Seneca;Operette morali, libro III;;
8;Seneca;Dialoghi, vol.I;;
9;Seneca;Dialoghi, vol.II;;
10;Seneca;Lettere a Lucilio;;
11;Seneca;Lettere a Lucilio;;
12;Ammiano Marcellino;Istoriae, lib.XIV-XVIII;;
13;Ammiano Marcellino;Istoriae, lib.XIX-XXIII;;
14;Ammiano Marcellino;Istoriae, lib.XXIV-XXVIII;;
15;Quintiliano;Istituzione oratoria libri 1-2;;
;;;;
16;Quintiliano;Istituzione oratoria libri 3-4 -5;;
;;;;
17;Quintiliano;Istituzione oratoria libri 6-7;;
;;;;
18;Quintiliano;Istituzione oratoria libri 8-9;;
;;;;
19;Quintiliano;Istituzione oratoria libri 10-11-12;;
;;;;
20;Svetonio;Le vite di dodici Cesari;;
21;Svetonio;Le vite di dodici Cesari;;
22;;;;
23;Tito Livio;Storia di Roma;;
24;Tito Livio;Storia di Roma;;
25;Tito Livio;Storia di Roma;;
26;Tito Livio;Storia di Roma;;
27;Tito Livio;Storia di Roma;;
28;Tito Livio;Storia di Roma;;
29;Tito Livio;Storia di Roma;;
30;Tito Livio;Storia di Roma;;
31;Tito Livio;Storia di Roma;;
32;Tito Livio;Storia di Roma;;
33;Tito Livio;Storia di Roma, lib. XXXVII-XXXVIII;;
34;Tito Livio;Storia di Roma, lib. XXXIX-XL;;
35;Apuleio;L’asino d’oro, lib. I-VI;;
36;Apuleio;L’asino d’oro, lib. VII-XI;;
37;Apuleio;Della magia;;
38;Lucrezio;Il poema della natura, lib. I-II;;
39;Petronio;Il Satiricon;;
40;Tertulliano;Apologetico;;
41;Rufo C.;Storia di A. Magno, vol.I-II;;
42;Rufo C.;Storia di A. Magno, vol.I-II;;
43;Terenzio;Commedie, vol. I;;
44;Terenzio;Commedie, vol.II;;
45;Plauto;Commedie, vol. I;;
46;Plauto;Commedie, vol. II;;
47;Plauto;Commedie, vol. III;;
48;Cicerone;Dei doveri;;
49;Cicerone;Dell’oratore I;;
50;Cicerone;Dell’oratore II;;
51;Cicerone;Dell’oratore III;;
52;Cicerone;Le discussion di Tuscolo I-II;;
53;Cicerone;Le discussion di Tuscolo III-IV-V;;
54;Cicerone;Dell’oratore I;;
55;;;;
56;Cicerone;Lettere ai familiari;;
57;Cicerone;Lettere ai familiari;;
58;Cicerone;Lettere ai familiari;;
59;Cicerone;Lettere ad Attico I;;
60;Cicerone;Lettere ad Attico II;;
61;Cicerone;Lettere ad Attico III;;
62;Cicerone;Lettere a Quinto e a Bruto;;
63;Cicerone;Della vecchiezza- Dell’amicizia;;
64;Tacito;Le storie, lib.I-II;;
65;Tacito;Le storie, lib. III-V;;
66;;;;
67;Tacito;Annali, lib.I-III;;
68;Tacito;Annali, lib.IV-VI;;
69;Tacito;Annali, lib. XI-XII;;
70;;;;
71;Svetonio;Le vite dei dodici Cesari, lib. II;;
72;Plinio il Giovane;Lettere 1.X- Il panegirico di Traiano;;
73;Plinio il Giovane;Lettere ai familiari, lib. I-V;;
74;Plinio il Giovane;Lettere ai familiari, lib. VI-IX;;
75;Eschilo;Le tragedie;;
76;Orazio;Satire ed epistole;;
77;Gagliardi;Le più belle poesie d’amore della latinità;;
78;Giovenale;Satire  I;;
79;Giovenale;Satire  I;;
80;;;;
81;Cicerone;Laelius de amicitia;;
82;Cicerone;Laelius de amicitia;;
83;Cicerone;Lettere scelte;;
84;Cicerone;Somnium Scipionis;;
85;Cicerone;La prima catilinaria;;
86;Virgilio;Le bucoliche;;
87;Catullo;I carmi;;
88;Tibullo;Elegie;;
89;Properzio;Elegie I;;
90;Properzio;Elegie  II;;
91;Eroda ;I miniambi;;
92;Aristofane;Le commedie I;;
93;Aristofane;Le commedie II;;
94;Aristofane;Le commedie III;;
95;Aristofane;Le commedie IV;;
96;Virgilio;L’Eneide I;;
97;Virgilio;L’Eneide II;;
98;Cicerone;L’oratore;;
99;Tito Livio;Antologia storica;;
100;Tito Livio;Il libro primo delle storie;;
101;;;;
102;Tito Livio;Ab urbe condita, lib. XXXIII;;
103;Tagliavini;Le origini delle lingue neolatine;;
104;Virgilio;Passi scelti dal poema virgiliano;;
105;Bernardi- Parini;L’accento latino;;
106;La Penna A.;Orazio e l’ideologia del principato;;
107;Tibullo A. ;Elegie;;
108;Minucio Felice;Ottavio;;
109;M.A. Antonino;Colloqui con se stesso;;
110;Giovenale D. ;Satire;;
111;Persio A.;Il libro delle satire;;
112;Seneca;Tutte le tragedie I;;
113;Seneca;Tutte le tragedie II;;
114;Terenzio;Tutte le commedie;;
115;Del Re R.;La letteratura greca;;
116;Eschilo;L’Orestea;;
117;Della Corte F.;Svetonio eques romanus;;
