1;Della Casa M.;Lingua, testo e significato;;
2;Cortelazzo-Zolli;Dizionario etimologico della lingua italiana;;
3;Cortelazzo-Zolli;Dizionario etimologico della lingua italiana;;
4;Cortelazzo-Zolli;Dizionario etimologico della lingua italiana;;
5;Brooks N.;L’apprendimento delle lingue straniere;;
6;Baldi-Mercanti;L’insegnamento della lingua inglese;;
7;Malmberg B.;La linguistica contemporanea;;
8;Foucault M.;Le parole e le cose;;
9;King E.;Insegnanti e società in evoluzione;;
10;Lawton D.;Programmi di studio ed evoluzione speciale;;
11;Lewis D.;La valutazione del sistema scolastico;;
12;Scaffidi Abate A.;Introduzione allo studio comparative delle lingue germaniche antiche;;
13;Bruni F.;L’origine del linguaggio;;
14;AA.VV.;Incontri linguistici;;
15;Mantia-Centemeri;I sussidi audiovisivi nell’apprendimento delle lingue moderne;;
16;Pescioli I.;Attività extrascolastiche;;
17;Tagliavini M.;Storia di parole pagane e cristiane attraverso I tempi;;
18;Nisbet-Entwistle;Metodologia  della ricerca educativa e della sperimentazione;;
19;Filograsso N.;Apprendimento-Natura e società;;
20;Berruto G.;La sociolinguistica;;
21;Janne-Geminard;Rapporto sulla scuola secondaria superiore;;
22;Richmond-Gozzer;Scuola inglese-scuola italiana;;
23;Moorhouse A.C.;Il trionfo dell’alfabeto;;
24;AA.VV.;La scuola secondaria in Italia (1859-1977);;
25;Migliorini B.;Lingua contemporanea;;
26;Migliorini B.;Lingua contemporanea;;
27;Vergnano I.;Il problema della società educative (aggiorn.  1975-1980);;
28;Debesse  M. ( a cura di );Psicologia dell’insegnamento;;
29;Debesse  M.;Psicologia dell’educazione;;
30;Banks O.;Psicologia dell’educazione;;
31;Reguzzoni M.;La riforma dellla scuola nella C.E.E.;;
32;Strobel K.;L’insuccesso scolastico;;
33;Debesse  M.-Mialaret;La funzione docente;;
34;Bennet M.;Stili d’insegnamento e progresso scolastico;;
35;Guilbert J.;Guida pedagogica;;
36;Carli e  altri;Aggiornamento degli insegnanti;;
37;Schefield H.;Valutazione e uso dei tests;;
38;AA.VV.;Guisa alla formazione di una biblioteca pubblica;;
39;Censis;Educazione Italia 82- Nuovi bisogni e vecchie povertà;;
40;Censis;La scuola del malessere- Contributi per un’analisi del microsistema scuola;;
41;Becchi;L'organizzazione della ricerca educativa;;
42;Gozzar G.;La partecipazione in cammino;;
43;Postman N.;La scuola come contropotere;;
44;Legrenzi-Luccio;Valutare per schede;;
45;AA.VV.;Lavorando con gli insegnanti;;
46;Corda Costa M.;Orientamenti per la sperimentazione didattica;;
47;Vertecchi B.;Valutazione formativa;;
48;De Greve – Van Passel;La linguistica e l’insegnamento delle lingue straniere;;
49;Bouton C.;Introduzione alla linguistica applicata;;
50;Pride J.B.;Il significato sociale del linguaggio;;
51;Di Pietro R.;Lingua a confronto;;
52;;;;
53;Lyons J.;Introduzione alla linguistica teorica: il linguaggio ;;
54;Lyons J.;Introduzione alla linguistica teorica:la grammatica;;
55;Lyons J.;Introduzione alla linguistica teorica:la semantica;;
56;Titone R.;Insegnare oggi le lingue seconde:breviario di glottodidattica;;
57;D’Addio Colosimo W.;Lingua straniera e comunicazione-Problemi di glottodidattica;;
58;Caponera-Siani;La letteratura di lingua straniera nella seconda superiore;;
59;Bohlen A.;Didattica delle lingue straniere;;
60;Bronfenbrenner U.;Due mondi dell’infanzia:USA-URSS;;
61;Calonghi L.;Valutazione delle composizioni scritte;;
62;DeLandsheere;Definire gli obiettivi dell’educazione;;
63;Timasheff N.;La sociologia diL.Sturzo;;
64;Cherkaoui M.;I paradossi del successo scolastico;;
65;Valitutti S.;Comunità educativa e cultura;;
66;AA.VV.;La situazione ducativa in Italia;;
67;AA.VV.;Ricerca pedagogica e sperimentazione in URSS;;
68;;;;
69;;;;
70;Berardi R.;Didattica della storia;;
