1;Gaeta (a cura di);     La stampa nazionalistica;;
2;Musco E.;La verità sull'otto settembre;;
3;North (a cura di);Le memoria del maresciallo Alexander;;
4;SethR.;Caporetto;;
5;AA.VV.;La sacra Bibbia;;
6;Mack Smith D.  ;Il risorgimento italiano;;
7;Mack Smith D.  ;Il risorgimento italiano;;
8;Mack Smith D.  ;Storia d'Italia ( 1 861 -1958);;
9;Scoppola  (a c u r a di );C h i e s a  e stato nella storia d'Italia;;
10;B e r n a r d - C h e v a ll a z;I dossier della II guerra mondiale;;
11;AA.VV.;Lettere di antifascisti dal carcere e dal confine, vol. I;;
12;AA.VV.;Lettere di antifascisti dal carcere e dal confine, vol. II;;
13;Cottafavi A.;Mondo contemporaneo;;
14;P e p e - T h e m e ll y  ;L'anticlericalismo nel Risorgimento (1830-1 870);;
15;De Felice (a cura di);Il fascismo e i partiti politici italiani;;
16;Salisbury H.;50 anni di vita sovietica;;
17;Fasoli G.;Guida allo studio della storia;;
18;Du Camp M.;La spedizione delle due Sicilie;;
19;P o d r e c c a - G a Ia n t a r a;L ' a s i n o;;
20;AA.VV.;Profili di aerei militari della I guerra mondiale;;
21;Del Buono (a cura di);Il becco giallo;;
22;Zambelli (a cura di);Ricerche sulla cultura dell'Italia moderna;;
23;Guglielmotti U.   ;Storia della marina italiana;;
24;AA.VV.;Alpini;;
25;Bianchini M.;Viaggio attraverso la preistoria;;
26;AA.VV.;Epopea italica - Cent'anni di glorioso cammino;;
27;AA.VV.;I grandi atti del I parlamento italiano, VIII legislature-1961;;
28;Stato Magg. Esercito  ;1 859: l'armata sarda a San Martino;;
29;Stato Magg. Esercito  ;L'esercito italiano dal primo tricolore al centenario;;
30;Stato Magg. Esercito  ;L'esercito italiano;;
31;AA.VV.;Carabinieri;;
32;AA.VV.;Italia 1 961;;
33;AA.VV.;L'Accademia militare e le scuole di applicazione;;
34;Pariset D.;Storia del paracadutismo;;
35;Pitocco F.;Utopia e riforma religiosa nel Risorgimento;;
36;Pitocco F.;Utopia e riforma religiosa nel Risorgimento;;
37;Dotti S.;Ritirata in Russia;;
38;Ronchi della Rocca I.;Ricordi di un partigiano;;
39;Petrocchi M.;La politica della Santa Sede di fronte all'invasione ottomana ( 1444-1718);;
40;AA.VV.;Trattato che istituisce la comunità europea del carbone e dell’acciaio;;
41;Brozzi;Il mducato longobardo in F.V.G.;;
42;Favetta B.M.;Trieste e l'Italia nelle lettere dei volontari giuliani;;
43;AA.VV.;Guida alla costituzione;;
44;Calmetta J.;Carlomagno;;
45;Weber F.;Dal Monte Nero a Caporetto;;
46;Lazareff H. e P.;The Soviet Union after Stalin;;
47;Calamandrei P.;Uomini e città della resistenza;;
48;Alexander E.;Adenauer e la nuova Germania;;
49;Gatto (a cura di);Il coro della guerra;;
50;Catalano F.;L'Italia dalla dittatura alla democrazia;;
51;Dalla Chiesa N.;Storie di boss ministri tribunali giornali..;;
52;AA.VV.;L'Italia nella Grande Guerra;;
53;AA.VV.;L'Italia nella Grande Guerra;;
54;AA.VV.;L'Italia nella Grande Guerra;;
55;Sordi M.;Cristianesimo a Roma;;
56;AA.VV.;lI secondo Risorgimento;;
57;AA.Naz: ex Internati;La resistenza nei lager nazisti;;
58;;;;
59;AA.VV.;I documenti segreti del XX congresso del PCUS;;
60;AA.VV.;I documenti segreti del XX congresso del PCUS;;
61;Pirenne H.;Storia d'Europa dalle invasioni al XVI sec.;;
62;Biagi E.;Testimone del tempo;;
63;Nolin T.;L'Haganàh;;
64;Osservatore;Vita quotidiana a Mosca;;
65;Osservatore;Vita quotidiana a Mosca;;
66;Cartier R.;L'Europa alla conquista dell'America;;
67;Pollock F.;Automazione;;
