1;Cipolla M.;Analisi algebrica;;
2;Ghizzetti A.;Lezioni di matematica   vol. I;;
3;Ghizzetti A.;Lezioni di matematica   vol. II;;
4;Ghizzetti A.;Complementi ed esercizi di analisi matematica vol. I;;
5;Ghizzetti A.;Complementi ed esercizi di analisi matematica vol. II;;
6;P a I a t i n i - F a g g i o I i;Elementi di algebra   vol. I;;
7;P a I a t i n i - F a g g i o I i;Elementi di algebra   vol. Il;;
8;Frajese A.;Attraverso la storia della matematica;;
9;Campedelli L.;Esercitazioni di geometria analitica e proiettiva;;
10;Campedelli L.;Esercitazioni complementari di geometria;;
11;Egidi R.;Ontologia e conoscenza matematica;;
12;Chiellini A.;La matematica moderna nell'insegnamento secondario;;
13;Chiellini A.;La matematica moderna nell'insegnamento secondario;;
14;F a g g i o I i - D o d e r o;Trigonometia piana;;
15;Wulf T. ;L'elettroscopio di Wulf;;
16; Philips (a cura) ;Il transistor nei circuiti;;
17;Kuster-Thiel;Logaritmi e tabelle per chimici, farmacisti, medici e fisici;;
18;Cianfllone F.;L'algebra di Boole e i circuiti logici;;
19;Rionero M.;Esercizi risolti di algebra moderna;;
20;PSSC;Fisica vol. I;;
21;PSSC;Fisica vol. II;;
22;PSSC;Fisica vol. I;;
23;PSSC;Fisica vol. II;;
24;PSSC;Fisica vol. II;;
25;Biffis P. ;Aritmetica pratica per le scuole medie inferiori;;
26;Carlson P.;La fisica di Carlson;;
27;Mendelsshn K.;Sulla via dello zero assoluto;;
28;Arcidiacono;Spazio, tempo, universo;;
29;Gerlach W. (a cura);Fisica;;
30;Bell E.T. ;I grandi matematici;;
31;Villa (a cura);Matematica moderna   vol. I;;
32;Villa (a cura);Matematica moderna   vol. Il;;
33;Artin E.;Algebra geometrica;;
34;Polya G.;Come risolvere i problemi di matematica;;
35;Hilbert D. ;Fondamenti della geometria;;
36;;;;
37;Weyl H.;La simmetria;;
38;Weyl H.;La simmetria;;
39;;;;
40;;;;
41;Dampier W.C. ;Breve storia della scienza;;
42;Garric D.;L'informatica;;
43;Giustini P.A.;Da Euclide a Hilbert;;
44;Kitte I C .;Introduzione alla fisica dello stato solido;;
45;Landau-Linfsic;Meccanica quantistica;;
46;Landau-Linfsic;Meccanica;;
47;L a n g S .;Algebra lineare;;
48;Ford K.;La fisica delle particelle;;
49;Ford K.;La fisica delle particelle;;
50;Matthews P .;Nel nucleo dell'atomo;;
51;Matthews P .;Nel nucleo dell'atomo;;
52;G a m o w G .;Biografia della fisica;;
53;G a m o w G .;Biografia della fisica;;
54;Friedrichs K.;I concetti matematici elementari della fisica;;
55;Courant-Robbins;Che cos'è la matematica;;
56;Waismann F.;Intoduzione al pensiero matematico;;
57;Stabler E.;Il pensiero matematico;;
58;Hilbert-Cohn Vos;sen         Geometria intuitiva;;
59;Hilbert-Cohn Vos;sen         Geometria intuitiva;;
60;Feynman R.;La legge fisica;;
61;Eddigngton A.;Spazio, tempo, gravitazione;;
62;B o r n M .;La sintesi einsteiniana;;
63;B o r n M .;La sintesi einsteiniana;;
64;Chen Ning Yang;La scoperta delle particelle elementari;;
65;Chen Ning Yang;La scoperta delle particelle elementari;;
66;G r a t a t o n L .;Relatività, cosmologia, astrofisica;;
67;G r a t a t o n L .;Relatività, cosmologia, astrofisica;;
68;Einstein A.;Relatività;;
69;Einstein A.;Relatività;;
70;Tolansky S.;Introduzione alla fisica atomica;;
71;Tolansky S.;Introduzione alla fisica atomica;;
72;Bridgmann P.;La logica della fisica moderna;;
73;Bohr N .;I quanti e la vita;;
74;Einstein A.;Pensieri degli anni difficili;;
75;Einstein-lnfeld;L'evoluzione della fisica;;
76;Einstein-lnfeld;L'evoluzione della fisica;;
77;Stabler E.;Il pensiero matematico;;
78;Finch J. K.;Storia dell'ingegneria;;
79;Gartmann H.;La tecnica e il futuro dell'uomo;;
80;M e n n e ll a C .;Missili e satelliti;;
81;B o r n M .;La fisica e il nostro tempo;;
82;Infeld L.;Albert Einstein;;
83;;;;
84;Bitter F.;Vita coi magneti;;
85;Bitter F.;Vita coi magneti;;
86;Bitter F.;Vita coi magneti;;
87;Fink-Lutyens;Fisica della televisione;;
88;Amaldi G.;Il nostro mondo;;
